1, 1, 1, 4, 11
2, 4, 2, 8, 31
3, 9, 6, 16, 89
4, 16, 24, 32, 259
5, 25, 120, 64, 761
6, 36, 720, 128, 2251
7, 49, 5040, 256, 6689
8, 64, 40320, 512, 19939
9, 81, 362880, 1024, 59561
10, 100, 3628800, 2048, 178171
11, 121, 39916800, 4096, 533489
12, 144, 479001600, 8192, 1598419
13, 169, 6227020800, 16384, 4791161
14, 196, 87178291200, 32768, 14365291
15, 225, 1307674368000, 65536, 43079489
16, 256, 20922789888000, 131072, 129205699
17, 289, 355687428096000, 262144, 387551561
18, 324, 6402373705728000, 524288, 1162523611
19, 361, 121645100408832000, 1048576, 3487308689
20, 400, 2432902008176640000, 2097152, 10461401779
21, 441, 51090942171709440000, 4194304, 31383156761
22, 484, 1124000727777607680000, 8388608, 94147373131
23, 529, 25852016738884976640000, 16777216, 282437925089
24, 576, 620448401733239439360000, 33554432, 847305386659
25, 625, 15511210043330985984000000, 67108864, 2541899382761
26, 676, 403291461126605635584000000, 134217728, 7625664593851
27, 729, 10888869450418352160768000000, 268435456, 22876926672689
28, 784, 304888344611713860501504000000, 536870912, 68630645800339
29, 841, 8841761993739701954543616000000, 1073741824, 205891668965561
30, 900, 265252859812191058636308480000000, 2147483648, 617674470025771
31, 961, 8222838654177922817725562880000000, 4294967296, 1853022336335489
32, 1024, 263130836933693530167218012160000000, 8589934592, 5559064861522819
33, 1089, 8683317618811886495518194401280000000, 17179869184, 16677190289601161
34, 1156, 295232799039604140847618609643520000000, 34359738368, 50031562278868891
35, 1225, 10333147966386144929666651337523200000000, 68719476736, 150094669656737489
36, 1296, 371993326789901217467999448150835200000000, 137438953472, 450283974610474099
37, 1369, 13763753091226345046315979581580902400000000, 274877906944, 1350851855111945561
38, 1444, 523022617466601111760007224100074291200000000, 549755813888, 4052555427896883211
39, 1521, 20397882081197443358640281739902897356800000000, 1099511627776, 12157666008812742689
40, 1600, 815915283247897734345611269596115894272000000000, 2199023255552, 36472997476682414179
41, 1681, 33452526613163807108170062053440751665152000000000, 4398046511104, 109418991330535614761
42, 1764, 1405006117752879898543142606244511569936384000000000, 8796093022208, 328256971792583588731
43, 1849, 60415263063373835637355132068513997507264512000000000, 17592186044416, 984770910979704255089
44, 1936, 2658271574788448768043625811014615890319638528000000000, 35184372088832, 2954312724143019743059
45, 2025, 119622220865480194561963161495657715064383733760000000000, 70368744177664, 8862938154836873184761
46, 2116, 5502622159812088949850305428800254892961651752960000000000, 140737488355328, 26588814429326247465451
47, 2209, 258623241511168180642964355153611979969197632389120000000000, 281474976710656, 79766443217609998218689
48, 2304, 12413915592536072670862289047373375038521486354677760000000000, 562949953421312, 239299329512092506300739
49, 2401, 608281864034267560872252163321295376887552831379210240000000000, 1125899906842624, 717897988254802542191561
50, 2500, 30414093201713378043612608166064768844377641568960512000000000000, 2251799813685248, 2153693964201457673153371
51, 2601, 1551118753287382280224243016469303211063259720016986112000000000000, 4503599627370496, 6461081891478473112617489
52, 2704, 80658175170943878571660636856403766975289505440883277824000000000000, 9007199254740992, 19383245672183619524167219
53, 2809, 4274883284060025564298013753389399649690343788366813724672000000000000, 18014398509481984, 58149737012047258945131161
54, 2916, 230843697339241380472092742683027581083278564571807941132288000000000000, 36028797018963968, 174449211027134577580652491
55, 3025, 12696403353658275925965100847566516959580321051449436762275840000000000000, 72057594037927936, 523347633063389334232475489
56, 3136, 710998587804863451854045647463724949736497978881168458687447040000000000000, 144115188075855872, 1570042899154139205678462499
57, 3249, 40526919504877216755680601905432322134980384796226602145184481280000000000000, 288230376151711744, 4710128697390360022997459561
58, 3364, 2350561331282878571829474910515074683828862318181142924420699914240000000000000, 576460752303423488, 14130386092026964880916522811
59, 3481, 138683118545689835737939019720389406345902876772687432540821294940160000000000000, 1152921504606846976, 42391158275792664266597856689
60, 3600, 8320987112741390144276341183223364380754172606361245952449277696409600000000000000, 2305843009213693952, 127173474826801532047490146579
61, 3721, 507580213877224798800856812176625227226004528988036003099405939480985600000000000000, 4611686018427387904, 381520424479251674637863592761
62, 3844, 31469973260387937525653122354950764088012280797258232192163168247821107200000000000000, 9223372036854775808, 1144561273435449180904377084331
63, 3969, 1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000, 18446744073709551616, 3433683820301735856694703865089
64, 4096, 126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000, 36893488147419103232, 10301051460895984198047256819459
65, 4225, 8247650592082470666723170306785496252186258551345437492922123134388955774976000000000000000, 73786976294838206464, 30903154382669505850068060906761
66, 4356, 544344939077443064003729240247842752644293064388798874532860126869671081148416000000000000000, 147573952589676412928, 92709463147971624062056763617051
67, 4489, 36471110918188685288249859096605464427167635314049524593701628500267962436943872000000000000000, 295147905179352825856, 278128389443841085209875452644689
68, 4624, 2480035542436830599600990418569171581047399201355367672371710738018221445712183296000000000000000, 590295810358705651712, 834385168331375681677036681521139
69, 4761, 171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000, 1180591620717411303424, 2503155504993831897125930691737561
70, 4900, 11978571669969891796072783721689098736458938142546425857555362864628009582789845319680000000000000000, 2361183241434822606848, 7509466514980905395567433369560971
